LIBRARY	library
USER_ACTION_GOON_AUTO	由于出现大量错误，已自动继续进行该模拟。
USER_ACTION_HELP	学员已请求帮助，此步骤不得分。
SLIDE_USER_ACTION_TEXTBOX_OPEN	学员已打开文本框。
SLIDE_USER_ACTION_TEXTBOX_CLOSE	学员已关闭文本框。
QUIZ_CORRECT_RESPONSE	正确答案
QUIZ_STUDENT_RESPONSE	学员的回答
QUIZ_LATENCY	时间
QUIZ_SCORE	已获取的分数
QUIZ_REQ_SCORE	要求的分数
QUIZ_MAX_SCORE	最高分数
QUIZ_TIMEOUT_REACHED	已达到超时时间
QUIZTYPE_MCHOICE	测验：多选
QUIZTYPE_SQMAQUIZ	测验：填空
QUIZTYPE_FIBQUIZ	测验：完形填空
QUIZTYPE_MATCHQUIZ	测验：匹配
QUIZTYPE_CONNQUIZ	测验：连线
QUIZTYPE_SCALEQUIZ	测验：滑块控件
QUIZTYPE_GRIDQUIZ	测验：网格
QUIZTYPE_HOTSPOTQUIZ	测验：热区
QUIZTYPE_PUZZLEQUIZ	测验：拼图
QUIZTYPE_MIXQUIZ	测验：排序
CONNECTING	正在连接...
SYNCHRONIZE	同步
SYNCHRONIZED	已同步
CONNECT	连接
BUBBLESTYLE_NOT_FOUND	未找到浮动框样式。
LOADING_MACROSET	加载内容和资源。
ZOOM_LEVEL_NOTIFICATION	警告：您的缩放级别不是 100%。
ctx_html.header_title	上下文帮助
ctx_html.introtext	以下帮助内容对当前上下文可用。可单击要启动的项目。
ctx_html.introtext_noresult	当前上下文无可用内容。可通过标题打开 library 或使用搜索功能获取更多内容。
ctx_html.query_empty	查询为空。
ctx_html.query_malformed	查询无效。
ctx_html.search	搜索
ctx_html.library	打开 library
ctx_html.language	语言
qr_hint_dlg.IDC_QR_HINT_DLG_CAPTION	录制
qr_hint_dlg.dont_bother	不再显示
qr_hint_dlg.hint_end	完成录制。
qr_hint_dlg.hint_pause	暂停录制。
btnOk	谢谢
qr_hint_dlg.hint_title	录制提示
qr_hint_dlg.audio_help	在选择控件之前录制文本。
quiz_error_no_template_file	错误：未找到模板文件。将使用缺省文件。
qr_hint_dlg.hint_end_1	END 键
qr_hint_dlg.hint_pause_1	PAUSE 键
