LIBRARY	library
TOUR_NEXT	下一步
USER_ACTION_CORRECT_ACTION	學員已成功執行該步驟。
USER_ACTION_WRONG_ACTION	學員執行步驟時發生錯誤。
USER_ACTION_GOON	學員已按一下 [繼續]，此步驟無點數。
USER_ACTION_GOON_AUTO	由於錯誤數量，因此已自動繼續模擬。
USER_ACTION_HELP	學員尋求協助，此步驟無點數。
SLIDE_USER_ACTION_TEXTBOX_OPEN	學員已開啟文字欄位。
SLIDE_USER_ACTION_TEXTBOX_CLOSE	學員已關閉文字欄位。
QUIZ_CORRECT_RESPONSE	正確回應
QUIZ_STUDENT_RESPONSE	學員的答覆
QUIZ_LATENCY	時間
QUIZ_SCORE	取得分數
QUIZ_REQ_SCORE	必要分數
QUIZ_MAX_SCORE	最高分數
QUIZ_TIMEOUT_REACHED	已逾時
QUIZTYPE_MCHOICE	測驗：複選
QUIZTYPE_SQMAQUIZ	測驗：填寫欄位
QUIZTYPE_FIBQUIZ	測驗：填寫空白處
QUIZTYPE_MATCHQUIZ	測驗：配對
QUIZTYPE_CONNQUIZ	測驗：連接
QUIZTYPE_SCALEQUIZ	測驗：滑動軸控制
QUIZTYPE_GRIDQUIZ	測驗：選項劃記表
QUIZTYPE_HOTSPOTQUIZ	測驗：熱點
QUIZTYPE_PUZZLEQUIZ	測驗：拼圖
QUIZTYPE_MIXQUIZ	測驗：排序
CONNECTING	連線中...
SYNCHRONIZE	同步化
SYNCHRONIZED	已同步
CONNECT	連線
BUBBLESTYLE_NOT_FOUND	找不到氣泡框樣式。
LOADING_MACROSET	載入內容和資源
ZOOM_LEVEL_NOTIFICATION	警告：您的縮放比例不是 100%。
ctx_html.header_title	內容輔助說明
ctx_html.introtext	目前內容有後續輔助說明內容。按一下需要的項目以開始。
ctx_html.introtext_noresult	目前內容沒有內容。請從表頭開啟 library 或使用搜尋取得進一步內容。
ctx_html.query_empty	查詢空白。
ctx_html.query_malformed	查詢無效。
ctx_html.search	搜尋
ctx_html.library	開啟 library
ctx_html.language	語言
qr_hint_dlg.IDC_QR_HINT_DLG_CAPTION	錄製
qr_hint_dlg.dont_bother	不再顯示
qr_hint_dlg.hint_end	完成錄製。
qr_hint_dlg.hint_pause	暫停錄製。
btnOk	感謝您
qr_hint_dlg.hint_title	錄製提示
qr_hint_dlg.audio_help	先錄製您的內文再選取控制項。
quiz_error_no_template_file	錯誤：找不到範本檔案，將使用預設值。
qr_hint_dlg.hint_end_1	結束鍵
qr_hint_dlg.hint_pause_1	暫停鍵
